Original signal,Filtered EDA,Phasic Component,Tonic Component
5.679674,5.6796658030153155,0.00934202019483893,5.670323782820477
5.664298,5.672113184291502,0.025444487666152142,5.646668696625349
5.614326,5.597873297983706,-0.025076582795841948,5.622949880779548
5.490037,5.490019080639073,-0.10919938928809,5.599218469927163
5.397781,5.431482280287466,-0.14404326579745858,5.575525546084925
5.472098,5.434972429300706,-0.11694945068682494,5.551921879987531
5.433659,5.4403185871550495,-0.08813908891474742,5.528457676069797
5.402907,5.415168351859505,-0.09001397121574506,5.50518232307525
5.387531,5.383529292976919,-0.09861485915330293,5.482144152130222
5.368311,5.363267154698951,-0.09612304926546986,5.45939020396442
5.341403,5.343331049759996,-0.09363495704952966,5.436966006809526
5.31962,5.3198434372052175,-0.09507192916115752,5.414915366366375
5.3004,5.303796877706883,-0.08948329138610914,5.393280169092993
5.295275,5.2923341479605295,-0.07976605196727,5.372100199927799
5.268367,5.267323150498745,-0.08408982492693379,5.351412975425679
5.227365,5.225070569309751,-0.10618302384143138,5.331253593151183
5.172267,5.182814660296396,-0.1288399377468356,5.311654598043232
5.164579,5.154766305644723,-0.13787956069061097,5.292645866335334
5.144078,5.142564851235908,-0.13168965624027384,5.274254507476181
5.13639,5.14580401016506,-0.11070077417468535,5.256504784339746
5.165861,5.160110352975073,-0.07930769886617406,5.2394180518412465
5.170986,5.170073731614051,-0.05293898228098051,5.223012713895031
5.162016,5.163486391386515,-0.04381780709141911,5.207304198477934
5.14664,5.147114175890224,-0.045190774521337296,5.192304950411562
5.135108,5.1355683380205415,-0.04245610333560354,5.178024441356145
5.133827,5.131796271823635,-0.03267292459113674,5.164469196414772
5.126139,5.128014903830688,-0.023627932840710908,5.151642836671399
5.121014,5.119799581263951,-0.019746555657679882,5.139546136921631
5.110763,5.110407719505213,-0.017769378293803706,5.128177097799017
5.099231,5.102843540414483,-0.014687491037639722,5.117531031452122
5.100513,5.095496229744036,-0.012104430144918132,5.107600659888954
5.086418,5.087571392965685,-0.010804832108258083,5.0983762250739435
5.077448,5.081530556522156,-0.008315053314643314,5.089845609836799
5.081293,5.077537620732569,-0.0044568478980287415,5.081994468630597
5.074886,5.07379878532034,-0.0010075818379031778,5.074806367158244
5.071042,5.073028399020578,0.00476546914896183,5.068262929871616
5.074886,5.078283402141263,0.015939407804215596,5.062343994337048
5.091543,5.084758832690214,0.027731061234916064,5.057027771455298
5.083855,5.086891955256323,0.03460094473030623,5.052291010526017
5.086418,5.087559979755858,0.039450811597466134,5.048109168158392
5.088981,5.0891130574427095,0.04465647738924908,5.044456580053461
5.086418,5.085385985212157,0.04407935049223151,5.041306634719925
5.077448,5.074641478385667,0.03600953015317495,5.038631948232492
5.064635,5.066384616802831,0.029980077606266205,5.036404539196565
5.05054,5.06027643489325,0.02568043175164396,5.034596003141607
5.053103,5.0370604988153875,0.003882813192849305,5.0331776856225385
4.986474,4.992005272339999,-0.0401155810195947,5.032120853359594
4.950597,4.956525791274565,-0.07487107151161018,5.031396862786175
4.96341,4.960154979710974,-0.07082234568209267,5.030977325393066
4.992881,4.990214171543553,-0.040620097702029206,5.030834269245582
5.013382,5.013878848895988,-0.01706144710818404,5.0309402960041725
5.019789,5.022442223927277,-0.008826508781344694,5.031268732708622
5.032602,5.031976590730864,0.00018281321892572866,5.031793777511938
5.055666,5.053946567484283,0.021455928993332526,5.032490638490951
5.082574,5.0836653325693355,0.05032966794482628,5.033335664624509
5.110763,5.110458841036568,0.07615237301921145,5.034306468017356
5.124858,5.126150588099396,0.09076855164055588,5.03538203645884
5.128702,5.127013785568843,0.09047095012428893,5.036542835444553
5.11717,5.115768864003112,0.07799796514453636,5.037770898858575
5.094106,5.100537518025263,0.061487610414503666,5.039049907610759
5.09795,5.089154738282749,0.04878948264569556,5.040365255637054
5.080011,5.086644888965299,0.044940786178067654,5.041704102787231
5.099231,5.096849548512645,0.05379413428062209,5.043055414232023
5.122295,5.121409010238916,0.07699902412352702,5.044409986115389
5.154328,5.156423181666836,0.11066272440622488,5.045760457260611
5.19405,5.191776195463072,0.14467488864178316,5.047101306821289
5.211988,5.215328981523243,0.16690014365861905,5.048428837864623
5.226083,5.221718901256041,0.17197775425750556,5.049741146998536
5.215832,5.217696704033753,0.16665862371891718,5.051038080314836
5.210707,5.21294090676066,0.16061973064345159,5.052321176117209
5.206863,5.205363945243714,0.15177035011781514,5.053593595125898
5.187643,5.184385039573507,0.12952500048645027,5.054860039087057
5.144078,5.149534586495525,0.093407927544513,5.056126658951012
5.119732,5.114973988063255,0.05757303405347086,5.057400954009784
5.087699,5.092567216596904,0.03387555300724435,5.058691663589659
5.083855,5.078803273528756,0.018794620459744532,5.060008653069011
5.058228,5.0611857097420945,-0.000177086384714642,5.061362796126809
5.031321,5.032333161948019,-0.030432693273782396,5.062765855221802
5.000569,4.996519598319601,-0.06771076404034998,5.064230362359951
4.962129,4.96388261309781,-0.1018868891337,5.06576950223151
4.932658,4.937506913895637,-0.1298900858921024,5.06739699978774
4.917282,4.912761850031462,-0.15636516424403682,5.069127014275499
4.902342,4.896154939174351,-0.17481910247678306,5.070974041651134
4.897216,4.904881974198994,-0.16807085295432975,5.0729528271533235
4.917718,4.927856267732488,-0.14722202189980682,5.075078289632295
4.936938,4.921906391539067,-0.15545906748097443,5.077365459020041
4.899779,4.882085573888215,-0.1977438542080392,5.079829428096255
4.819055,4.867328428997719,-0.21515689047144215,5.082485319469161
4.942063,4.910664479078215,-0.1746837893729843,5.0853482684512
4.970253,4.9638269527257615,-0.12460646953379215,5.088433422259554
4.961283,4.977965477950736,-0.11379047775824302,5.0917559557089795
4.980503,4.975632856545306,-0.11969824675704269,5.095331103302349
5.001004,5.0010227453017,-0.09815146208173661,5.099174207383437
5.056101,5.053297422452748,-0.05000335935456704,5.103300781807315
5.099667,5.10244668692255,-0.005279903481679282,5.10772659040423
5.136826,5.134346607832469,0.021878868471665203,5.112467739360803
5.149639,5.153721733350632,0.036180950825589336,5.117540782525042
5.163733,5.161538473004053,0.0385756344347756,5.122962838569277
5.154764,5.1521915352053735,0.023439816285297232,5.128751718920077
5.125293,5.127823522391275,-0.007102542985494911,5.13492606537677
5.095823,5.097626200572105,-0.0438792958011931,5.141505496373298
5.066352,5.065037320998575,-0.0834734398732003,5.148510760871775
5.036881,5.033325698864536,-0.12263820002618564,5.155963898890722
5.018943,5.020730092704587,-0.1431583149452558,5.163888407649843
5.040726,5.0467431726444625,-0.12556623960149277,5.172309412245955
5.108636,5.10182833441149,-0.07942550524826605,5.181253839659756
5.153482,5.153287094213119,-0.03746350052822045,5.190750594741339
5.181672,5.185367136805737,-0.015463599851094176,5.200830736656831
5.217549,5.216679508141017,0.005151854013435556,5.211527654127582
5.279053,5.275373343907934,0.052496106228667225,5.222877237679267
5.361058,5.368040144223564,0.13312209717364865,5.2349180470499155
